股票代號,股票名稱,收盤價,月平均價
"030896","瑞昱元大26購01","1.40","1.58"
"030897","飛宏元大26購01","1.27","1.22"
"030898","興富發元大26購01","1.00","1.38"
"030899","陽明元大26購03","2.00","1.93"
"03089P","晶豪科元大23售08","","0.83"
"030900","陽明元大2B購01","1.95","1.79"
"030901","八方元大26購01","1.07","1.41"
"030902","富邦金元大26購02","","0.85"
"030903","開發金元大26購01","","0.65"
"030904","威強電元大26購01","2.02","2.16"
"030905","景碩元大26購01","0.83","1.21"
"030906","台勝科元大26購01","","1.58"
"030908","元晶元大26購01","0.96","1.13"
"030909","AES元大26購01","0.99","1.28"
"03090P","大立光元大23售22","","0.24"
"030910","南茂元大26購01","","1.35"
"030911","臺股指元大2A購13","","1.47"
"030912","臺股指元大2A購14","","1.44"
"030914","臺股指元大2B購01","1.26","1.26"
"030915","臺股指元大2B購02","","1.87"
"03091P","臺股指元大24售35","0.79","0.74"
"03092P","臺股指元大24售36","1.03","0.93"
"030936","富邦金兆豐28購01","0.64","0.71"
"030937","台灣50台新26購03","0.56","0.70"
"030938","亞聚永豐27購01","1.06","1.21"
"030939","華新永豐26購02","0.95","1.05"
"03093P","臺股指元大24售37","1.89","1.69"
"030940","和益永豐26購01","","1.28"
"030941","國巨永豐27購01","0.99","1.11"
"030942","宏達電永豐27購01","1.30","1.59"
"030943","晶華永豐27購01","1.06","1.06"
"030944","晶睿永豐28購01","1.48","1.54"
"030945","富采永豐26購01","1.23","1.20"
"030946","智伸科永豐27購01","","0.98"
"030947","三福化永豐27購01","","1.13"
"030948","晶心科永豐27購01","1.16","1.12"
"030949","台塑康和26購01","0.87","1.02"
"03094P","臺股指元大25售48","0.77","0.72"
"030950","聚陽康和26購01","0.93","0.99"
"030951","中鋼康和26購01","1.01","1.15"
"030952","國泰金康和26購01","0.69","0.82"
"030953","新光金康和28購01","","0.47"
"030954","中信金康和26購01","0.51","0.71"
"030955","晶心科康和26購01","","0.96"
"030956","元石油凱基2A購01","1.01","1.01"
"030957","華新凱基2C購01","2.28","2.41"
"030958","台積電凱基2C購06","1.23","1.34"
"030959","台積電凱基2C購07","","2.39"
"03095P","臺股指元大25售49","0.87","0.80"
"030960","台積電凱基2C購08","","2.28"
"030961","台積電凱基33購01","2.47","2.67"
"030962","宏達電凱基28購02","1.00","1.27"
"030963","慧洋凱基27購03","1.41","1.39"
"030964","晶華凱基28購01","1.38","1.32"
"030965","晶睿凱基28購01","1.92","2.03"
"030966","合勤控凱基27購01","1.01","0.91"
"030967","晶心科凱基26購01","1.47","1.45"
"030968","南電凱基26購03","1.55","2.19"
"030969","世紀鋼凱基26購01","1.28","1.61"
"03096P","臺股指元大25售50","1.56","1.42"
"030970","上証2X元富29購01","","2.85"
"030971","聯發科元富31購03","1.85","2.42"
"030972","長榮航元富29購01","2.02","2.02"
"030973","長榮航元富29購02","2.17","2.21"
"030974","長榮麥證26購02","3.26","2.74"
"030975","晶睿麥證26購01","1.65","1.80"
"030976","晶心科麥證26購01","","1.16"
"030977","T50反1中信29購01","","0.94"
"030978","T50反1中信2A購01","","0.65"
"030979","華新中信26購01","1.03","1.03"
"030980","台積電中信26購05","1.09","1.19"
"030981","台積電中信28購03","","1.17"
"030982","台積電中信2A購02","","1.10"
"030983","台積電中信2C購01","","0.98"
"030984","聯發科中信27購02","0.34","0.62"
"030985","宏達電中信27購01","0.44","0.53"
"030986","神基中信26購01","0.76","0.68"
"030987","富采中信27購01","0.97","0.96"
"030988","威鋒電中信26購01","0.94","1.14"
"030989","AES中信29購01","","0.34"
"03098P","鴻海群益23售04","","0.71"
"030990","南茂中信28購01","1.39","1.46"
"030991","裕隆國泰28購01","1.73","1.89"
"030992","美律國泰28購01","","1.21"
"030993","王品國泰28購01","1.33","1.40"
"030994","台灣50群益26購01","","2.06"
"030996","台灣50群益27購01","","2.20"
"030998","台灣50群益2C購01","","1.09"
"030999","T50反1群益28購05","0.66","0.62"
"03099P","台積電群益23售20","1.57","1.47"
"031001","華新群益26購01","1.38","1.60"
"031002","華新群益26購02","1.45","1.54"
"031003","聯電群益26購04","1.39","1.56"
"031004","鴻海群益28購01","0.75","0.82"
"031005","台積電群益26購06","1.02","1.15"
"031006","旺宏群益26購01","1.22","1.34"
"031007","光罩群益28購01","2.41","2.69"
"031008","燿華群益26購01","1.17","1.50"
"031009","瑞昱群益26購01","0.54","0.66"
"03100P","世芯群益23售05","1.03","1.07"
"031010","聯發科群益27購05","1.22","1.35"
"031011","聯發科群益27購06","","1.14"
"031012","宏達電群益28購02","2.22","2.75"
"031013","美食群益26購01","2.63","2.74"
"031014","國泰金群益26購01","","1.26"
"031015","國泰金群益27購02","1.05","1.27"
"031016","國泰金群益28購01","","1.20"
"031017","晶睿群益26購03","2.17","2.41"
"031018","敦泰群益28購03","","0.60"
"031019","晶心科群益26購05","","1.51"
"03101P","愛普群益23售04","","0.32"
"031020","帝寶群益26購01","","1.24"
"031021","南電群益28購01","","2.40"
"031022","南電群益28購02","1.02","1.40"
"031023","臺股指群益26購02","","1.21"
"031025","華通富邦27購01","0.76","0.91"
"031026","台積電富邦2A購03","","0.99"
"031027","威盛富邦29購01","0.86","0.97"
"031028","晶睿富邦28購01","","1.32"
"031029","晶心科富邦28購01","1.01","0.98"
"03102P","惠特群益23售01","","0.61"
"031030","AES富邦26購01","","0.80"
"031032","SGBR2X元大26購05","","0.89"
"031033","中興電元大26購01","1.53","1.48"
"031034","華新元大2B購03","1.99","2.16"
"031035","華新元大2C購01","0.65","0.69"
"031036","大成鋼元大26購02","1.05","1.43"
"031037","裕隆元大28購01","1.10","1.17"
"031038","裕隆元大2A購02","1.04","1.15"
"031039","三陽元大26購01","1.50","2.01"
"031040","國巨元大26購01","2.52","2.75"
"031041","台積電元大2A購29","1.11","1.18"
"031042","台積電元大2B購13","","1.32"
"031043","台積電元大2C購02","","1.51"
"031044","威盛元大26購01","1.61","1.86"
"031045","飛宏元大26購02","1.09","1.07"
"031046","台驊控元大26購02","1.57","1.45"
"031047","慧洋元大26購01","1.44","1.64"
"031048","三商壽元大26購01","","0.60"
"031049","創意元大26購04","1.70","1.59"
"03104P","臺股指群益29售04","","1.90"
"031050","晶睿元大26購01","1.46","1.59"
"031051","新唐元大26購02","","0.83"
"031052","天鈺元大26購03","0.82","0.80"
"031053","中磊元大26購01","1.30","1.39"
"031054","盛群元大26購01","1.02","1.14"
"031055","晶心科元大26購01","1.34","1.39"
"031056","AES元大26購02","1.01","1.12"
"031057","富鼎元大28購01","0.54","0.59"
"031059","中石化國票27購01","","0.59"
"03105P","南亞凱基25售02","1.69","1.52"
"031060","華新國票26購03","1.69","1.96"
"031061","東鹼國票27購01","","2.56"
"031062","致茂國票27購01","1.10","1.23"
"031063","瑞昱國票26購01","","0.98"
"031064","台光電國票27購01","","1.28"
"031065","威盛國票27購01","2.14","2.54"
"031066","陽明國票26購02","1.41","1.31"
"031067","華航國票26購03","1.36","1.48"
"031068","美食國票27購01","","1.95"
"031069","開發金國票27購01","","0.60"
"03106P","華航元大24售14","1.05","1.02"
"031070","神基國票27購01","","1.67"
"031071","大立光國票27購01","1.52","1.53"
"031072","建漢國票27購01","","2.12"
"031073","晶睿國票27購02","1.06","1.11"
"031074","嘉聯益國票27購01","0.69","0.72"
"031075","盛群國票27購01","","1.75"
"031076","晶心科國票28購01","1.45","1.55"
"031077","AES國票28購01","","1.33"
"031078","台光電康和26購01","0.61","0.78"
"031079","威盛康和26購01","0.89","1.08"
"03107P","大成鋼元大23售07","0.50","0.49"
"031080","晶華康和26購02","0.95","0.95"
"031081","東陽永豐27購01","0.53","0.88"
"031082","上銀永豐27購01","0.76","0.80"
"031083","義隆永豐26購01","","0.88"
"031084","裕民永豐27購01","1.16","1.24"
"031085","台航永豐26購01","0.94","0.98"
"031086","晶技永豐26購01","1.25","1.24"
"031087","嘉澤永豐27購01","0.84","1.02"
"031088","矽力永豐27購01","0.60","0.72"
"031089","晶碩永豐27購01","1.14","1.11"
"031090","晶心科永豐28購01","1.09","1.05"
"031091","AES永豐27購02","","0.47"
"031093","新光金兆豐28購01","","0.68"
"031095","晶華元富26購01","1.68","1.61"
"031096","美食元富26購01","","2.18"
"031097","國泰金元富26購01","","1.35"
"031098","日月光元富29購01","","1.21"
"031099","晶碩元富26購01","1.66","1.64"
"03109P","聯電元大23售53","1.33","1.29"
"031100","裕隆麥證26購01","0.65","0.74"
"031101","晶心科麥證27購01","1.65","1.72"
"031102","國巨群益26購01","1.72","1.95"
"031104","義隆群益26購02","0.77","0.74"
"031105","宏達電群益28購03","","1.50"
"031106","潤泰全群益26購01","1.86","2.23"
"031107","大立光群益26購02","1.03","1.05"
"031108","欣興群益26購02","0.60","0.81"
"031109","景碩群益26購02","0.36","0.50"
"03110P","華通元大23售11","0.39","0.39"
"031110","創意群益26購03","","1.80"
"031111","健策群益26購02","","2.12"
"031112","材料群益26購01","2.25","2.26"
"031113","祥碩群益26購03","0.83","0.89"
"031114","祥碩群益28購01","1.03","1.07"
"031115","中磊群益26購02","","0.84"
"031117","緯穎群益26購01","","1.99"
"031118","嘉基群益27購01","1.01","1.10"
"031119","南電群益28購03","","1.68"
"03111P","台積電元大23售68","0.86","0.89"
"031120","台泥凱基2C購01","1.32","1.28"
"031121","華新凱基2C購02","2.15","2.30"
"031122","永光凱基28購01","1.22","1.30"
"031123","裕隆凱基33購01","1.24","1.32"
"031124","裕隆凱基33購02","1.16","1.21"
"031125","裕隆凱基33購03","","1.11"
"031126","裕隆凱基33購04","1.62","1.67"
"031127","台積電凱基27購21","","0.77"
"031128","台積電凱基2C購09","","2.15"
"031129","台積電凱基33購02","","2.41"
"03112P","奇鋐元大23售08","0.38","0.35"
"031130","台積電凱基33購03","1.59","1.72"
"031131","強茂凱基26購01","","1.65"
"031132","宏達電凱基26購07","","1.36"
"031133","晶華凱基26購02","1.40","1.32"
"031134","美食凱基2A購01","0.90","0.94"
"031135","奇鋐凱基26購01","0.80","0.97"
"031136","貿聯凱基27購01","1.11","1.40"
"031137","智伸科凱基28購01","","0.60"
"031138","天鈺凱基27購02","0.99","0.94"
"031139","晶心科凱基28購01","1.62","1.61"
"03113P","同欣電元大23售13","2.57","2.40"
"031140","富鼎凱基2A購01","0.82","0.88"
"031142","台灣50元大29購04","","0.91"
"031143","台灣50元大29購05","","0.95"
"031144","台灣50元大2A購01","","1.03"
"031147","T50反1元大2A購05","","0.76"
"031148","上証2X元大28購01","1.58","1.58"
"031149","香港反元大29購01","0.61","0.59"
"03114P","富邦金元大24售05","","0.14"
"031151","道瓊銀元大27購01","","1.51"
"031152","中502X元大27購01","","1.62"
"031153","中502X元大27購02","1.51","1.60"
"031154","中砂元大29購01","","1.57"
"031155","華新元大26購05","1.83","2.10"
"031156","華新元大2C購02","1.97","2.12"
"031157","裕隆元大28購02","1.15","1.20"
"031158","裕隆元大29購03","","1.19"
"031159","鴻海元大26購04","1.26","1.40"
"03115P","景碩元大24售01","0.57","0.47"
"031161","萬海元大26購04","1.53","1.39"
"031162","萬海元大26購05","1.60","1.35"
"031163","美食元大26購01","1.23","1.30"
"031164","美食元大26購02","1.34","1.36"
"031165","王品元大26購01","1.20","1.18"
"031168","貿聯元大26購01","1.42","1.73"
"031169","貿聯元大26購02","1.56","1.86"
"03116P","臺股指國泰23售03","","0.34"
"031170","貿聯元大2A購01","1.44","1.68"
"031171","四維航元大26購01","1.47","1.47"
"031172","晶心科元大26購02","","1.36"
"031173","AES元大26購03","0.74","0.85"
"031174","AES元大26購04","","0.85"
"031175","AES元大2A購01","1.11","1.16"
"031176","華新中信28購02","0.69","0.72"
"031177","裕隆中信26購01","0.45","0.50"
"031178","旺宏中信26購02","0.83","0.82"
"031179","華邦電中信27購01","0.48","0.52"
"03117P","臺股指國泰23售04","0.72","0.64"
"031180","台新金中信28購01","0.64","0.65"
"031181","嘉晶中信26購01","","0.83"
"031182","欣興中信28購01","0.75","0.90"
"031183","創意中信26購01","1.05","0.98"
"031184","力積電中信27購01","0.62","0.64"
"031185","華新國泰28購01","1.84","1.99"
"031186","台積電國泰28購01","1.78","2.04"
"031187","威盛國泰28購01","","1.79"
"031188","晶心科國泰28購01","1.03","1.12"
"031189","晶心科國泰28購02","1.20","1.21"
"03118P","臺股指國泰25售04","0.52","0.45"
"031191","元石油富邦27購01","","0.51"
"031192","SGBR2X富邦28購01","","0.72"
"031193","東陽富邦26購01","","0.95"
"031194","華新富邦26購02","","0.87"
"031195","允強富邦26購01","0.84","0.91"
"031196","致茂富邦27購01","0.58","0.61"
"031197","長榮富邦27購03","0.61","0.59"
"031198","長榮富邦2A購01","1.05","0.98"
"031199","群創富邦28購01","0.47","0.58"
"03119P","東陽國票23售02","2.40","2.07"
"031200","台勝科富邦26購01","0.82","0.90"
"031201","富采富邦27購01","0.88","0.84"
"031202","台郡富邦27購01","0.73","0.83"
"031203","康舒富邦28購01","0.89","0.91"
"031205","裕民康和26購01","0.93","1.03"
"031206","漢翔康和26購01","1.02","1.11"
"031207","日月光康和28購01","0.71","0.81"
"031208","祥碩康和26購01","0.92","0.95"
"031209","南電康和26購03","0.52","0.74"
"03120P","中砂國票24售02","","1.16"
"031211","技嘉國票27購01","0.60","0.74"
"031212","可成國票26購01","0.78","0.94"
"031214","乙盛國票27購01","1.07","1.22"
"031215","晶心科國票26購05","1.43","1.46"
"031216","華擎群益26購01","1.26","1.19"
"031217","世芯群益26購02","","1.23"
"031218","景碩台新26購01","0.44","0.55"
"031219","華新永豐27購01","0.85","0.97"
"03121P","京元電國票23售01","0.39","0.63"
"031220","廣宇永豐27購01","0.83","0.89"
"031221","宏達電永豐28購01","0.95","1.11"
"031222","智原永豐27購02","0.81","0.90"
"031223","緯穎永豐26購01","","1.24"
"031225","統一實永豐26購01","0.69","0.88"
"031226","T50正2元大2A購01","","1.06"
"031227","國企2X元大26購01","2.08","1.99"
"031228","國企2X元大26購02","","1.65"
"031229","中興電元大26購02","1.68","1.78"
"03122P","京元電國票23售03","","0.50"
"031230","裕隆元大29購04","0.56","0.59"
"031231","偉詮電元大26購01","0.96","0.96"
"031232","宏達電元大26購04","","1.79"
"031233","陽明元大26購04","1.76","1.62"
"031234","慧洋元大26購02","1.38","1.36"
"031235","晶華元大26購01","1.41","1.38"
"031236","晶華元大26購02","1.44","1.54"
"031237","晶華元大2A購01","1.76","1.79"
"031238","開發金元大29購01","0.39","0.42"
"031239","智原元大26購04","","0.98"
"03123P","台灣50元富23售03","0.61","0.54"
"031240","智原元大26購05","0.75","0.92"
"031241","景碩元大26購02","0.44","0.59"
"031242","揚明光元大26購03","","1.05"
"031243","世芯元大26購07","","1.46"
"031244","致伸元大26購01","","1.02"
"031245","立積元大26購01","0.66","0.73"
"031246","中磊元大26購02","1.26","1.37"
"031247","啟碁元大26購01","0.43","0.56"
"031248","富鼎元大26購02","","0.55"
"031249","世紀鋼元大29購01","1.34","1.50"
"03124P","創意元富23售04","0.31","0.53"
"031250","亞泥凱基26購01","1.38","1.47"
"031251","中興電凱基2A購01","0.98","0.99"
"031252","新光鋼凱基26購01","2.02","1.85"
"031253","台積電凱基2B購03","","1.44"
"031254","台積電凱基33購04","","2.11"
"031255","台積電凱基3C購01","","2.11"
"031256","台積電凱基3C購02","","1.85"
"031257","晶華凱基2A購01","0.88","0.89"
"031258","康普凱基26購01","0.55","0.61"
"031259","四維航凱基27購01","1.58","1.57"
"03125P","臺股指元富23售07","","0.50"
"031260","啟碁凱基2C購01","0.81","0.91"
"031261","裕隆元富29購01","1.01","1.15"
"031262","鴻海麥證26購02","0.89","0.98"
"031263","台積電麥證26購09","0.75","0.75"
"031264","致茂麥證26購01","0.77","0.78"
"031265","可成麥證26購01","0.71","0.93"
"031266","美食麥證28購01","1.46","1.54"
"031267","神基麥證26購01","1.97","1.73"
"031268","和碩麥證26購01","1.43","1.34"
"031269","臺股指麥證2A購06","0.59","0.63"
"03126P","創意元大26售02","0.34","0.40"
"031270","中砂中信27購01","0.56","0.69"
"031271","晶豪科中信28購01","0.70","0.73"
"031272","智原中信26購02","0.60","0.67"
"031273","康普中信26購01","0.96","1.03"
"031274","台灣50國泰28購01","0.95","1.07"
"031275","中興電國泰28購01","2.41","2.40"
"031276","國巨國泰28購01","","2.00"
"031277","國巨國泰28購02","","1.78"
"031278","飛宏國泰27購01","1.21","1.21"
"031279","萬海國泰28購01","1.60","1.46"
"03127P","群創元大24售01","0.73","0.66"
"031280","健策國泰28購02","","1.20"
"031281","力智國泰28購01","","0.91"
"031283","力麗富邦28購01","0.55","0.61"
"031284","大成鋼富邦26購01","1.16","1.58"
"031285","聯電富邦2A購01","0.84","0.91"
"031286","國巨富邦28購01","","1.25"
"031287","台積電富邦2A購04","0.63","0.71"
"031288","華航富邦28購01","1.09","1.22"
"031289","智原富邦27購02","0.67","0.90"
"03128P","晶心科元大24售03","0.29","0.36"
"031290","景碩富邦26購01","0.38","0.52"
"031291","敦泰富邦28購01","","0.74"
"031292","大聯大富邦27購01","1.01","0.92"
"031293","南電富邦27購01","0.45","0.54"
"031294","T50正2群益28購01","","2.02"
"031295","FBNQ2X群益26購01","","1.76"
"031296","華新群益26購03","1.46","1.68"
"031297","聯電群益26購05","1.00","1.06"
"031298","宏達電群益26購05","1.12","1.42"
"031299","智原群益26購01","","1.43"
"03129P","電子類元大24售04","0.54","0.48"
"031300","光罩兆豐28購01","","1.08"
"031301","元金反國票26購01","0.94","0.97"
"031304","亞聚國票26購01","0.92","1.06"
"031305","東陽國票26購01","0.69","1.16"
"031306","宏達電國票27購03","","1.36"
"031307","創意國票27購03","2.11","2.06"
"031308","世紀鋼國票27購01","1.13","1.32"
"031309","大成鋼永豐26購01","0.84","1.13"
"03130P","長榮群益23售09","0.44","0.73"
"031310","裕隆永豐27購01","","1.29"
"031311","鴻海永豐28購01","0.58","0.58"
"031313","奇鋐永豐27購01","0.83","0.97"
"031314","玉晶光永豐27購02","0.82","1.03"
"031315","新唐永豐27購01","","1.29"
"031316","中磊永豐26購01","","1.07"
"031318","大成鋼中信28購01","0.83","1.01"
"031319","微星中信28購01","1.10","1.03"
"03131P","長榮群益23售10","0.96","1.33"
"031320","元大金中信27購01","0.59","0.66"
"031321","潤泰全中信28購01","0.61","0.68"
"031322","奇鋐中信26購01","0.35","0.42"
"031323","新唐中信28購01","0.64","0.70"
"031324","元晶中信27購01","0.62","0.79"
"031326","南電中信28購01","0.18","0.26"
"031327","長榮國泰28購01","1.92","1.77"
"031328","長榮國泰28購02","1.79","1.51"
"031329","儒鴻元富27購01","","1.88"
"03132P","長榮群益23售11","","1.95"
"031330","威盛元富28購06","","1.56"
"031331","聯發科元富31購04","1.63","2.04"
"031332","鴻海麥證28購02","0.66","0.71"
"031333","飛宏麥證26購02","1.25","1.21"
"031334","滬深2X群益26購05","","1.70"
"031335","美費半群益28購01","1.33","1.53"
"031337","力麗群益27購01","0.62","0.69"
"031338","台光電群益26購01","0.79","1.06"
"031339","萬海群益26購01","1.49","1.59"
"03133P","電子類元大25售03","0.60","0.55"
"031340","漢翔群益26購01","","0.97"
"031341","漢翔群益26購02","","1.53"
"031342","揚明光群益26購03","","0.37"
"031343","世芯群益26購03","","1.45"
"031344","天鈺群益26購01","","0.74"
"031345","富鼎群益26購02","","1.01"
"031346","滬深2X元大26購06","1.42","1.40"
"031347","元金反元大26購01","1.12","1.13"
"031349","FB台半元大2A購01","","0.49"
"03134P","金融類元大24售04","0.89","0.86"
"031350","華新元大26購06","1.63","1.86"
"031351","華新元大26購07","1.81","1.95"
"031352","華新元大2A購07","1.79","1.92"
"031353","裕隆元大26購02","0.71","0.81"
"031354","三陽元大26購02","1.07","1.46"
"031355","鴻海元大26購05","0.65","0.73"
"031357","光罩元大26購02","0.96","1.00"
"031358","威盛元大26購02","1.32","1.64"
"03135P","金融類元大25售03","1.00","0.98"
"031361","景碩元大26購03","0.35","0.43"
"031362","玉晶光元大26購03","1.00","1.05"
"031363","嘉澤元大26購01","","1.87"
"031365","康普元大26購01","0.76","0.83"
"031366","立積元大26購02","","0.53"
"031367","乙盛元大26購02","0.40","0.40"
"031368","中磊元大26購03","","1.34"
"031369","聯茂元大26購01","","1.53"
"03136P","台積電麥證28售04","","1.66"
"031370","啟碁元大26購02","0.49","0.61"
"031371","晶心科元大26購03","1.39","1.35"
"031372","緯穎元大26購01","","1.70"
"031374","振樺電元大26購03","","0.84"
"031376","臺股指元大2B購04","1.64","1.64"
"031377","滬深2X凱基27購03","","1.54"
"031378","滬深2X凱基28購04","","1.46"
"03137P","創意麥證26售01","0.70","0.87"
"031380","中興電凱基27購02","0.62","0.71"
"031381","華城凱基26購01","2.01","2.25"
"031382","大亞凱基26購01","1.50","1.61"
"031383","裕隆凱基26購03","1.64","1.74"
"031384","台積電凱基27購22","","1.35"
"031385","台積電凱基2A購12","","1.86"
"031386","台積電凱基2B購04","","1.89"
"031387","威盛凱基2A購01","1.15","1.33"
"031388","長榮凱基27購07","0.92","0.82"
"031389","晶豪科凱基27購01","","1.05"
"03138P","長榮永豐23售02","0.60","0.72"
"031390","聯陽凱基26購01","","1.45"
"031391","晶心科凱基26購03","1.61","1.53"
"031392","矽創凱基28購01","1.08","1.12"
"031393","T50正2富邦28購01","0.73","0.81"
"031395","鴻海富邦27購03","0.59","0.59"
"031396","燿華富邦28購01","","0.78"
"031397","可成富邦29購01","0.68","0.76"
"031398","長榮航富邦28購01","0.91","0.96"
"031399","漢翔富邦27購01","0.71","0.74"
"03139P","金像電國票23售07","","0.61"
"031400","新光金富邦2A購01","","0.81"
"031401","玉晶光富邦28購01","0.59","0.73"
"031403","華城永豐27購01","1.14","1.22"
"031404","裕隆永豐26購02","1.00","1.16"
"031405","世芯永豐26購03","","1.16"
"031406","拓凱永豐27購01","0.89","1.01"
"031407","乙盛永豐28購01","","0.89"
"031408","中租永豐26購01","1.20","1.14"
"031409","台郡永豐27購01","0.63","0.65"
"03140P","怡利電國票24售02","","1.23"
"031410","力智永豐27購01","","0.99"
"031411","世紀鋼永豐27購01","","1.18"
"031412","儒鴻康和26購01","1.02","1.05"
"031413","光罩康和28購01","1.09","1.09"
"031414","華邦電康和26購01","0.85","0.85"
"031415","長榮康和26購01","1.12","1.02"
"031416","智原康和26購01","0.71","0.82"
"031418","上証2X國票27購01","1.51","1.48"
"03141P","宏達電國票23售09","0.68","0.63"
"031420","S&P正2國票27購01","1.06","1.10"
"031421","S&P反1國票27購01","0.83","0.73"
"031423","A50正2國票27購01","","1.05"
"031424","道瓊反國票27購03","1.03","0.91"
"031426","元金反國票2C購01","","0.72"
"031427","中興電國票27購01","3.17","3.50"
"031429","漢唐國票27購01","1.29","1.28"
"03142P","長榮國票24售01","0.45","0.69"
"031430","強茂國票26購01","","1.27"
"031431","宏達電國票28購01","","1.61"
"031432","華航國票26購04","1.10","1.21"
"031433","台航國票27購01","1.60","1.57"
"031434","美食國票27購02","1.43","1.51"
"031435","八方國票27購01","","2.26"
"031436","富邦金國票26購02","0.86","0.86"
"031437","智原國票27購01","","1.58"
"031438","揚明光國票27購01","0.80","0.89"
"031439","碩天國票27購01","","0.84"
"031440","四維航國票27購01","2.12","2.25"
"031441","元晶國票27購01","","1.86"
"031442","晶心科國票28購02","1.65","1.60"
"031443","力積電國票27購01","1.02","1.00"
"031444","滬深2X凱基2A購03","1.39","1.38"
"031445","臺指2X凱基2A購01","","1.75"
"031446","道瓊銅凱基2A購01","1.00","1.02"
"031447","中鋼凱基26購01","","0.98"
"031448","中鴻凱基26購03","2.25","2.04"
"031449","裕隆凱基27購03","","1.50"
"03144P","長榮航國票23售04","1.92","2.06"
"031450","廣宇凱基26購01","0.99","1.06"
"031451","台積電凱基26購16","","1.41"
"031452","台積電凱基26購17","","1.41"
"031453","漢翔凱基26購02","","1.48"
"031454","拓凱凱基26購01","1.15","1.27"
"031455","致伸凱基27購01","","1.51"
"031456","康舒凱基28購01","1.50","1.61"
"031457","晶碩凱基27購01","1.62","1.58"
"031458","力積電凱基26購02","1.03","0.98"
"031459","富邦媒凱基26購01","","1.47"
"031460","臺股指凱基27購03","","1.25"
"031461","臺股指凱基27購04","0.89","0.89"
"031462","臺股指凱基27購05","","1.34"
"031463","滬深2X中信29購01","","0.87"
"031464","S&P反1中信29購01","0.95","0.92"
"031465","中鋼中信26購01","0.51","0.63"
"031466","燿華中信28購01","","1.09"
"031468","宏達電中信29購01","","0.55"
"031469","漢翔中信27購01","0.73","0.78"
"03146P","新唐國票24售03","","1.22"
"031470","台中銀中信28購01","1.20","1.21"
"031471","國泰金中信27購01","1.29","1.37"
"031472","國泰金中信28購01","0.75","0.80"
"031473","群創中信27購01","0.43","0.54"
"031474","T50正2國泰28購02","1.79","2.06"
"031475","國巨國泰28購03","1.48","1.60"
"031476","長榮國泰28購03","2.52","2.33"
"031477","漢翔國泰28購01","1.07","1.12"
"031478","貿聯國泰28購01","1.24","1.50"
"031479","力積電國泰28購01","1.18","1.14"
"03147P","台積電國泰25售07","","2.42"
"031480","中鋼富邦26購01","0.72","0.85"
"031481","佳世達富邦27購01","0.79","0.92"
"031482","瑞昱富邦28購01","0.74","0.78"
"031483","潤泰全富邦28購01","0.75","0.82"
"031484","奇鋐富邦27購01","0.51","0.60"
"031485","聯詠富邦27購02","1.28","1.21"
"031486","景碩富邦26購02","","0.28"
"031487","健策富邦27購01","0.84","0.84"
"031488","帆宣富邦26購01","0.65","0.70"
"031489","緯穎富邦27購01","0.78","1.00"
"03148P","儒鴻元大23售06","","0.36"
"031490","潤泰新富邦28購01","","0.54"
"031491","上証2X元大26購03","1.04","1.05"
"031492","元石油元大26購02","","0.90"
"031493","元石油元大26購03","0.99","0.97"
"031494","FB越南元大26購02","0.83","0.85"
"031495","華新元大2C購03","1.73","1.82"
"031496","廣宇元大26購01","1.27","1.35"
"031497","仲琦元大26購01","","1.19"
"031498","仲琦元大26購02","","1.25"
"031499","仲琦元大26購03","","0.92"
"03149P","堤維西元大23售05","0.75","0.71"
"031501","美食元大26購03","","1.00"
"031505","富邦金元大26購05","1.03","1.03"
"031506","晶豪科元大26購01","","1.19"
"031507","景碩元大26購04","0.37","0.37"
"031508","材料元大26購01","1.51","1.57"
"031509","晶心科元大26購04","1.31","1.41"
"03150P","台肥元大23售01","1.06","1.05"
"031510","AES元大26購05","1.08","1.02"
"031513","臺股指元大2A購20","0.89","0.97"
"031514","臺股指元大2B購05","1.00","1.00"
"031515","臺股指元大2B購06","","0.95"
"031516","臺股指元大2B購07","0.88","0.98"
"031517","上証2X元富29購02","0.86","0.88"
"031519","華城元富27購01","1.22","1.32"
"03151P","華新凱基25售07","","1.29"
"031520","大成鋼元富26購01","1.33","1.79"
"031521","飛宏元富26購02","1.08","1.08"
"031522","智原元富29購01","0.93","1.08"
"031523","亞泥麥證26購01","1.69","1.71"
"031524","台塑麥證26購01","1.31","1.49"
"031525","廣宇麥證26購01","","0.89"
"031526","盛群麥證26購01","0.94","0.94"
"031528","S&P反1群益2A購01","1.10","1.00"
"03152P","中鴻元大23售04","0.89","0.96"
"031530","國企2X群益26購01","1.19","1.26"
"031531","FBNQ反群益28購01","1.41","1.41"
"031533","威盛群益26購02","1.49","1.78"
"031535","可成群益26購01","0.56","0.64"
"031536","慧洋群益27購01","1.38","1.36"
"031537","智原群益26購03","0.99","1.10"
"031538","玉晶光群益26購03","1.98","2.25"
"031539","世芯群益26購04","1.21","1.34"
"03153P","怡利電元大23售10","","0.94"
"031540","晶心科群益26購06","0.85","0.86"
"031541","中石化法興29購01","0.72","0.75"
"031542","鴻海法興26購01","2.55","2.83"
"031544","聯發科法興26購01","","1.29"
"031545","開發金法興26購01","0.69","0.74"
"031547","欣興法興26購01","0.99","1.22"
"031548","世芯法興28購01","1.49","1.56"
"031549","貿聯法興28購01","0.87","0.98"
