年度,行業別,經常性薪資-薪資,經常性薪資-女/男,專業人員-薪資,專業人員-女/男,技術員及助理專業人員-薪資,技術員及助理專業人員-女/男,事務支援人員-薪資,事務支援人員-女/男,服務及銷售工作人員-薪資,服務及銷售工作人員-女/男,技藝_機械設備操作及組裝人員-薪資,技藝_機械設備操作及組裝人員-女/男,基層技術工及勞力工-薪資,基層技術工及勞力工-女/男
2020,會計服務業,29959,99.62,35556,100,28880,99.47,28617,100.11,28433,100,— ,— ,— ,— 
2020,企業總管理機構及管理顧問業,29195,99.55,34150,99.8,30028,99.74,27703,99.47,26936,100,28941,99.16,25853,99.76
2020,建築、工程服務及技術檢測、分析服務業,31233,98.88,37232,98.6,30116,99.78,28262,99.85,27638,100,26265,99.11,25630,99.45
2020,研究發展服務業,33307,99.99,42214,100,33224,99.98,31685,100,27904,100,29224,100,25022,100
2020,廣告業及市場研究業,27025,99.91,30466,100.86,27473,98.85,26105,100.15,25939,100,25053,98.87,24545,100
2020,專門設計業,29386,99.14,34880,100.52,29343,98.7,27266,98.92,26748,100,26874,99.2,25033,100
2020,其他專業、科學及技術服務業,28017,100,32656,100,28848,100,26079,100,24556,100,25067,100,24840,100
2020,支援服務業,27404,99.72,32731,99.68,29798,99.56,26782,100.05,26678,99.63,27139,99.75,24679,99.32
2020,租賃業,27145,98.86,32727,99.45,27866,100,25778,99.33,26949,99.4,26926,95.87,25282,100.69
2020,人力仲介業,26029,99.54,28747,100,25789,100,25559,98.97,24636,99.73,— ,— ,— ,— 
2020,人力供應業,27479,99.72,32085,100,29504,99.85,27400,99.49,25853,100,26847,99.95,24960,98.46
2020,旅行及相關服務業,26846,99.94,34930,100,28462,100,25376,100,25567,99.83,25933,100,24029,100
2020,保全及偵探業,28453,99.87,36556,99.57,31515,98.97,27486,100.75,27643,99.8,27444,100,25090,98.01
2020,建築物及綠化服務業,26795,99.63,32158,98.03,31152,99.55,26875,100.31,26058,99.61,27995,100.26,24419,99.57
2020,行政支援服務業,28313,100,32894,100.18,29418,100.11,27170,100.26,29076,99.7,28284,100,25309,100.41
2020,教育業,27786,99.28,31915,98.95,28934,98.33,26399,99.76,25466,99.15,26307,98.27,24741,98.88
2020,學前教育,28302,99.16,33309,97.93,— ,— ,27335,99.67,25201,99.7,25763,96.14,24776,98.5
2020,教育輔助及其他教育業,27176,99.05,29891,99,29090,98.6,25672,99.13,25821,98.67,27248,100.58,24643,99.82
2020,醫療保健及社會工作服務業,29071,99.75,36268,99.23,30768,99.1,26915,99.82,26976,100,28098,99.99,24602,99.91
2020,醫療保健業,28980,99.76,36503,99.2,30671,99.07,26729,99.93,26710,99.82,27983,99.98,24568,99.91
2020,社會工作服務業,29996,99.63,34287,99.68,32682,100,29262,99.12,28302,100.3,30145,100,25020,99.65
2020,藝術、娛樂及休閒服務業,27076,99.54,31788,99.57,29508,99.7,26715,99.85,25513,99.71,27535,99.83,24623,99.82
2020,創作及藝術表演業,29436,99.27,31212,99.4,29888,100,28598,99.13,— ,— ,— ,— ,— ,— 
2020,運動、娛樂及休閒服務業,26956,99.56,31862,99.59,29458,99.65,26579,99.92,25513,99.71,27573,99.83,24613,99.97
2020,其他服務業,25786,99.24,32529,99.48,27603,98.47,26361,98.73,24717,99.85,25694,99.36,24713,99.66
2020,個人及家庭用品維修業,26309,99.51,30510,97.99,27422,98.04,26684,98.21,24738,100,25803,100.17,24373,100.34
2020,美髮及美容美體業,24190,100.25,— ,— ,— ,— ,24782,100.64,23980,100.29,— ,— ,— ,— 
2020,其他個人服務業,26741,99.1,34457,100,28011,99.19,26372,99.01,27046,99.45,25378,98.59,24817,99.16
